schema_version,column_name,business_entity,definition,source_type,python_data_type,power_bi_data_type,nullable_after_cleaning,observed_values_or_range,transformation_or_cleaning_rule,model_usage,power_bi_base_table
1.1,booking_id,Booking,Synthetic unique identifier assigned to each row for traceability.,Derived field,object,Text,No,"118,563 distinct values","Sequential synthetic value formatted as HB000001, HB000002, etc.",Join key only,Yes
1.1,hotel,Hotel and Stay,Hotel type: City Hotel or Resort Hotel.,Original source field,object,Text,No,"City Hotel, Resort Hotel",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,is_canceled,Outcome,Cancellation outcome; 1 means canceled and 0 means not canceled.,Original source field,int64,Whole number,No,0.00 to 1.00,Retained after quality validation.,Target variable,Yes
1.1,lead_time,Booking,Number of days between booking entry and scheduled arrival.,Original source field,int64,Whole number,No,0.00 to 709.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,arrival_date_year,Booking,Scheduled arrival year.,Original source field,int64,Whole number,No,"2,015.00 to 2,017.00",Retained after quality validation.,Analytics only,No
1.1,arrival_date_month,Booking,Scheduled arrival month name.,Original source field,object,Text,No,"April, August, December, February, January, July, June, March, May, November, October, September",Retained after quality validation.,Analytics only,No
1.1,arrival_date_week_number,Booking,Week number of the scheduled arrival.,Original source field,int64,Whole number,No,1.00 to 53.00,Retained after quality validation.,Eligible booking-time feature,No
1.1,arrival_date_day_of_month,Booking,Day of month of the scheduled arrival.,Original source field,int64,Whole number,No,1.00 to 31.00,Retained after quality validation.,Analytics only,No
1.1,stays_in_weekend_nights,Hotel and Stay,Number of weekend nights included in the booking.,Original source field,int64,Whole number,No,0.00 to 19.00,Retained after quality validation.,Eligible booking-time feature,No
1.1,stays_in_week_nights,Hotel and Stay,Number of weekday nights included in the booking.,Original source field,int64,Whole number,No,0.00 to 50.00,Retained after quality validation.,Eligible booking-time feature,No
1.1,adults,Guest,Number of adults included in the booking.,Original source field,int64,Whole number,No,0.00 to 55.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,children,Guest,Number of children included in the booking.,Original source field,int64,Whole number,No,0.00 to 10.00,Missing values replaced with 0 and converted to whole number.,Eligible booking-time feature,Yes
1.1,babies,Guest,Number of babies included in the booking.,Original source field,int64,Whole number,No,0.00 to 10.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,meal,Hotel and Stay,Code representing the meal plan selected for the booking.,Original source field,object,Text,No,"BB, FB, HB, SC, Undefined",Retained after quality validation.,Eligible booking-time feature,No
1.1,country,Guest,Guest country code; missing countries are recorded as Unknown.,Original source field,object,Text,No,177 distinct values,Missing values replaced with Unknown; CN standardized to CHN.,Eligible booking-time feature,Yes
1.1,market_segment,Channel,Market segment through which the booking was acquired.,Original source field,object,Text,No,"Aviation, Complementary, Corporate, Direct, Groups, Offline TA/TO, Online TA, Undefined",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,distribution_channel,Channel,Distribution channel used to place the booking.,Original source field,object,Text,No,"Corporate, Direct, GDS, TA/TO, Undefined",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,is_repeated_guest,Guest,Repeat-guest indicator; 1 means repeated guest and 0 means new guest.,Original source field,int64,Whole number,No,0.00 to 1.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,previous_cancellations,Guest,Number of previous bookings canceled by the guest.,Original source field,int64,Whole number,No,0.00 to 26.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,previous_bookings_not_canceled,Guest,Number of previous bookings not canceled by the guest.,Original source field,int64,Whole number,No,0.00 to 72.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,reserved_room_type,Hotel and Stay,Code representing the room type originally reserved.,Original source field,object,Text,No,"A, B, C, D, E, F, G, H, L",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,assigned_room_type,Hotel and Stay,Code representing the room type ultimately assigned.,Original source field,object,Text,No,"A, B, C, D, E, F, G, H, I, K, L",Retained after quality validation.,Excluded because it may not be known at initial booking time.,Yes
1.1,booking_changes,Booking,Number of changes made to the booking.,Original source field,int64,Whole number,No,0.00 to 18.00,Retained after quality validation.,Excluded because changes can occur after booking creation.,No
1.1,deposit_type,Booking,Deposit arrangement associated with the booking.,Original source field,object,Text,No,"No Deposit, Non Refund, Refundable",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,agent,Channel,Travel-agent identifier; 0 means no agent was recorded.,Original source field,int64,Whole number,No,0.00 to 535.00,Missing values replaced with identifier code 0.,Eligible booking-time feature,No
1.1,company,Channel,Company identifier; 0 means no company was recorded.,Original source field,int64,Whole number,No,0.00 to 543.00,Missing values replaced with identifier code 0.,Excluded because it is extremely sparse and high-cardinality.,No
1.1,days_in_waiting_list,Booking,Number of days the booking remained on the waiting list.,Original source field,int64,Whole number,No,0.00 to 391.00,Retained after quality validation.,Excluded because it may not be known at initial booking time.,No
1.1,customer_type,Booking,"Customer classification such as Transient, Contract, or Group.",Original source field,object,Text,No,"Contract, Group, Transient, Transient-Party",Retained after quality validation.,Eligible booking-time feature,Yes
1.1,adr,Hotel and Stay,Average daily room rate associated with the booking.,Original source field,float64,Decimal number,No,0.00 to 510.00,"Negative ADR and the extreme ADR value above 1,000 were excluded.",Eligible booking-time feature,Yes
1.1,required_car_parking_spaces,Guest,Number of parking spaces requested by the guest.,Original source field,int64,Whole number,No,0.00 to 8.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,total_of_special_requests,Guest,Number of special requests made by the guest.,Original source field,int64,Whole number,No,0.00 to 5.00,Retained after quality validation.,Eligible booking-time feature,Yes
1.1,reservation_status,Outcome,"Final reservation status such as Check-Out, Canceled, or No-Show.",Original source field,object,Text,No,"Canceled, Check-Out, No-Show",Retained after quality validation.,Excluded because it directly reveals the final outcome.,No
1.1,reservation_status_date,Outcome,Date on which the final reservation status was recorded.,Original source field,datetime64[ns],Date,No,2014-10-17 to 2017-09-14; format YYYY-MM-DD,Converted from text to datetime.,Excluded because it is recorded after the booking outcome.,No
1.1,duplicate_group_flag,Data Quality,Audit flag indicating that the row belongs to an identical-value group.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when the original row belongs to an identical-value group; otherwise 0.,Audit-only field; not used as a predictive feature.,No
1.1,has_agent,Channel,Indicator that an agent identifier was present in the source data.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when source agent is not missing; otherwise 0.,Eligible booking-time feature,Yes
1.1,has_company,Channel,Indicator that a company identifier was present in the source data.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when source company is not missing; otherwise 0.,Eligible booking-time feature,Yes
1.1,arrival_date,Booking,Complete scheduled arrival date created from the source date fields.,Derived field,datetime64[ns],Date,No,2015-07-01 to 2017-08-31; format YYYY-MM-DD,arrival_date_year + arrival_date_month + arrival_date_day_of_month,Temporal split and reporting,Yes
1.1,total_guests,Guest,Total guests calculated as adults plus children plus babies.,Derived field,int64,Whole number,No,1.00 to 55.00,adults + children + babies,Eligible booking-time feature,Yes
1.1,total_nights,Hotel and Stay,Total nights calculated as weekend nights plus weekday nights.,Derived field,int64,Whole number,No,1.00 to 69.00,stays_in_weekend_nights + stays_in_week_nights,Eligible booking-time feature,Yes
1.1,is_family,Guest,Indicator that the booking includes at least one child or baby.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when children + babies is greater than 0; otherwise 0.,Eligible booking-time feature,Yes
1.1,room_type_changed,Hotel and Stay,Indicator that the assigned room differs from the reserved room.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when reserved_room_type differs from assigned_room_type; otherwise 0.,Excluded because assigned room information may be post-booking.,Yes
1.1,zero_adr_flag,Hotel and Stay,Indicator that the average daily rate is zero.,Derived field,int8,Whole number,No,0.00 to 1.00,1 when adr equals 0; otherwise 0.,Eligible booking-time feature,Yes
1.1,booking_value,Hotel and Stay,Estimated gross room value calculated as ADR multiplied by total nights.,Derived field,float64,Decimal number,No,"0.00 to 7,590.00",adr multiplied by total_nights,Eligible booking-time feature,Yes
1.1,arrival_year_month,Booking,Scheduled arrival month formatted as YYYY-MM.,Derived field,object,Text,No,26 distinct values,Arrival date formatted as YYYY-MM.,Eligible booking-time feature,Yes
